Year      CIRR
1928      1.39
1929      1.51
1930      1.39
1931      1.22
1932      0.90
1933      0.84
1934      1.16
1935      0.94
1936      1.01
1937      1.58
1938      1.07
1939      1.48
1940      1.28
1941      0.89
1942      0.64
1943      0.60
1944      0.73
1945      0.56
1946      0.57
1947      0.46
1948      0.48
1949      0.33
1950      0.34
1951      0.43
1952      0.38
1953      0.48
1954      0.38
1955      0.49
1956      0.58
1957      0.69
1958      0.49
1959      0.64
1960      0.82
1961      0.83
1962      0.95
1963      0.74
1964      1.12
1965      1.97
1966      1.75
1967      1.31
1968      1.84
1969      2.03
1970      1.69
1971      1.44
1972      1.87
1973      1.93
1974      1.32
1975      0.86
1976      0.85
1977      0.85
1978      0.72
1979      0.63
1980      0.52
1981      0.65
1982      0.44
1983      0.47
1984      0.51
1985      0.52
1986      0.49
1987      0.47
1988      0.36
1989      0.31
1990      0.32
1991      0.33
1992      0.47
1993      0.64
1994      0.53
1995      0.48
1996      0.63
1997      0.67
1998      0.85
1999      1.80
2000      1.70
2001      1.33
2002      1.16
2003      0.79
2004      0.76
2005      0.74
2006      0.74
2007      0.75
2008      0.65
2009      0.42
2010      0.41
